ID,name,merits,points,info
BSPH,BS Applied Physics,72.45,0,"BS Applied Physics: Applied physics is the study of the application of physics to solve practical problems. It covers a wide range of topics, including solid-state physics, optics, electronics, materials science, and energy. Topics one could expect in this field include mechanics, thermodynamics, electromagnetism, optics, and quantum mechanics."
B.Arch,B.Arch Architecture & Planning,71.05,0,"B.Arch Architecture & Planning: Architecture and planning is the study of the design and construction of buildings, as well as the planning of urban and regional environments. Topics one could expect in this field include architectural design, building codes, construction methods, urban planning, and sustainable design."
BEAU,BE Automotive Engg,73.04,0,"BE Automotive Engg: Automotive engineering is the study of the design, development, and production of cars, buses, and other vehicles. Topics one could expect in this field include vehicle dynamics, engine design, powertrain systems, aerodynamics, and vehicle safety."
BEBM,BE Bio-Medical Engg,73,0,"BE Bio-Medical Engg: Biomedical engineering is the application of engineering principles and techniques to the medical field. Topics one could expect in this field include medical imaging, biomechanics, biosensors, artificial organs, and tissue engineering."
BECH,BE Chemical Engg,74,0,"BE Chemical Engg: Chemical engineering is the application of chemical, physical, and biological principles to the design, development, and operation of chemical processes and equipment. Topics one could expect in this field include thermodynamics, kinetics, fluid dynamics, transport phenomena, and process control."
BECE,BE Civil Engg,73.65,0,"BE Civil Engg: Civil engineering is the study of the design, construction, and maintenance of the built environment, including buildings, roads, bridges, and other infrastructure. Topics one could expect in this field include structural design, construction materials, geotechnical engineering, water resources, and environmental engineering."
BSCF,BS Computational Finance,72,0,"BS Computational Finance: Computational finance is the application of computational methods to the solution of problems in finance. Topics one could expect in this field include financial modeling, numerical methods, optimization, statistical analysis, and risk management."
BSCT,BS Computer Science & Information Technology,83.61,0,"BS Computer Science & Information Technology: Computer Science and Information Technology is the study of the theory and application of computers and computer systems. Topics one could expect in this field include programming, algorithms, data structures, computer architecture, software engineering, and database systems."
BECS,BE Computer & Info Systems Engg,83.59,0,"BE Computer & Info Systems Engg: Computer and Information Systems Engineering is the study of the design and development of computer systems and networks. Topics one could expect in this field include computer networks, system administration, information security, distributed systems, and database management."
BECN,BE Construction Engineering & Management,72.64,0,"BE Construction Engineering & Management: Construction Engineering and Management is the study of the management of construction projects from planning to execution. Topics one could expect in this field include project management, construction planning and scheduling, cost engineering, and construction safety."
BSDS,BS Development Studies,58.62,0,"BS Development Studies: Development Studies is the interdisciplinary study of economic, political, and social development. Topics one could expect in this field include poverty, inequality, economic growth, governance, and social change."
BSEC,BS Economics & Finance,65,0,"BS Economics & Finance: Economics and Finance is the study of the production, distribution, and consumption of goods and services, as well as the study of financial markets and institutions. Topics one could expect in this field include microeconomics, macroeconomics, finance, and econometrics."
BEEE,BE Electrical Engg,78.74,0,"BE Electrical Engg: Electrical Engineering is the study of the generation, transmission, and distribution of electrical power, as well as the design and operation of electrical systems. Topics one could expect in this field include electrical circuits, control systems, power systems, telecommunications, and digital systems."
BEEL,BE Electronics Engg,75.25,0,"BE Electronics Engg: Electronics Engineering is the study of the design, development, and application of electronic systems and devices. Topics one could expect in this field include semiconductors, digital electronics, analog electronics, communication systems, and microcontrollers."
BSEG,BS English Linguistics,63,0,"BS English Linguistics: English Linguistics is the study of the structure, history, and use of the English language. Topics one could expect in this field include phonetics, phonology, morphology, syntax, semantics, and pragmatics."
BEIM,BE Industrial & Manufacturing Engg,76.04,0,"BE Industrial & Manufacturing Engg: Industrial and Manufacturing Engineering is the study of the design, development, and operation of industrial systems and processes. Topics one could expect in this field include production planning and control, operations research, quality control, and ergonomics."
BSIC,BS Industrial Chemistry,72.45,0,"BS Industrial Chemistry: Industrial Chemistry is the study of the chemical processes and materials used in the manufacturing industry. Topics one could expect in this field include chemical thermodynamics, kinetics, reactor design, separation processes, and chemical engineering design."
BSMG,BS Management Sciences,66,0,"BS Management Sciences: Management Sciences is the study of the management of organizations and the use of quantitative methods to improve decision-making. Topics one could expect in this field include financial management, operations management, marketing, and strategic management."
BEMM,BE Materials Engg,79.45,0,"BE Materials Engg: Materials Engineering is the study of the properties and behavior of materials, as well as the design and development of new materials. Topics one could expect in this field include materials science, metallurgy, ceramics, polymers, and composites."
BEME,BE Mechanical Engg,77.74,0,"BE Mechanical Engg: Mechanical Engineering is the study of the design, development, and operation of mechanical systems and devices. Topics one could expect in this field include thermodynamics, fluid mechanics, mechanics of materials, manufacturing processes, and robotics."
BEMY,BE Metallurgy Engg,79,0,"BE Metallurgy Engg: Metallurgy Engineering is the study of the properties and behavior of metals, as well as the design and development of new metal-based materials. Topics one could expect in this field include metallurgy, heat treatment, welding, corrosion, and physical metallurgy."
BEPE,BE Petroleum Engg,82.81,0,"BE Petroleum Engg: Petroleum Engineering is the study of the exploration, extraction, and production of oil and natural gas. Topics one could expect in this field include reservoir engineering, drilling, well completion, production engineering, and enhanced oil recovery."
BEPP,BE Polymer & Petrochemical Engg,70,0,"BE Polymer & Petrochemical Engg: Polymer and Petrochemical Engineering is the study of the properties and behavior of polymers, as well as the design and development of new polymer-based materials. Topics one could expect in this field include polymer science, chemical processing, and material characterization."
BESE,BE Software Engg,85.35,0,"BE Software Engg: Software Engineering is the study of the design, development, and maintenance of software systems. Topics one could expect in this field include software design, programming, project management, testing, and maintenance."
BETC,BE Telecommunications Engg,73.69,0,"BE Telecommunications Engg: Telecommunications Engineering is the study of the design, development, and operation of telecommunications systems and networks. Topics one could expect in this field include telecommunications, networks, wireless communications, and signal processing."
BETE,BE Textile Engg,74.89,0,"BE Textile Engg: Textile Engineering is the study of the design, development, and production of textiles. Topics one could expect in this field include textile design, textile chemistry, textile manufacturing, textile engineering, and textile testing."
BEUE,BE Urban & Regional Planning Engg,79.09,0,"BE Urban & Regional Planning Engg: Urban and Regional Planning Engineering is the study of the design, development, and management of urban and regional environments. Topics one could expect in this field include urban design, transportation planning, land use planning, environmental planning, and housing."
